HR(t),Cal(t),Inte(t),METs(t),Steps(t),Timestamp,HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2)
64.1428571428571,1.14146995544434,0,11,0,2016-04-12T12:18:00Z,66.7142857142857,1.14146995544434,0,11,0,70.3333333333333,2.69801998138428,1,26,11
61.7142857142857,1.14146995544434,0,11,0,2016-04-12T12:19:00Z,64.1428571428571,1.14146995544434,0,11,0,66.7142857142857,1.14146995544434,0,11,0
59.4,2.28293991088867,1,22,6,2016-04-12T12:20:00Z,61.7142857142857,1.14146995544434,0,11,0,64.1428571428571,1.14146995544434,0,11,0
58.3333333333333,1.14146995544434,0,11,0,2016-04-12T12:21:00Z,59.4,2.28293991088867,1,22,6,61.7142857142857,1.14146995544434,0,11,0
59.4285714285714,1.14146995544434,0,11,0,2016-04-12T12:22:00Z,58.3333333333333,1.14146995544434,0,11,0,59.4,2.28293991088867,1,22,6
61.4285714285714,1.14146995544434,0,11,0,2016-04-12T12:23:00Z,59.4285714285714,1.14146995544434,0,11,0,58.3333333333333,1.14146995544434,0,11,0
58.3333333333333,1.14146995544434,0,11,0,2016-04-12T12:24:00Z,61.4285714285714,1.14146995544434,0,11,0,59.4285714285714,1.14146995544434,0,11,0
59.8333333333333,1.14146995544434,0,11,0,2016-04-12T12:25:00Z,58.3333333333333,1.14146995544434,0,11,0,61.4285714285714,1.14146995544434,0,11,0
59.2,1.03770005702972,0,10,0,2016-04-12T12:26:00Z,59.8333333333333,1.14146995544434,0,11,0,58.3333333333333,1.14146995544434,0,11,0
62.1666666666667,1.14146995544434,0,11,0,2016-04-12T12:27:00Z,59.2,1.03770005702972,0,10,0,59.8333333333333,1.14146995544434,0,11,0
66.7142857142857,1.03770005702972,0,10,0,2016-04-12T12:28:00Z,62.1666666666667,1.14146995544434,0,11,0,59.2,1.03770005702972,0,10,0
58.6666666666667,1.14146995544434,0,11,0,2016-04-12T12:29:00Z,66.7142857142857,1.03770005702972,0,10,0,62.1666666666667,1.14146995544434,0,11,0
57.5,1.03770005702972,0,10,0,2016-04-12T12:30:00Z,58.6666666666667,1.14146995544434,0,11,0,66.7142857142857,1.03770005702972,0,10,0
60.8333333333333,1.03770005702972,0,10,0,2016-04-12T12:31:00Z,57.5,1.03770005702972,0,10,0,58.6666666666667,1.14146995544434,0,11,0
68.125,1.14146995544434,0,11,0,2016-04-12T12:32:00Z,60.8333333333333,1.03770005702972,0,10,0,57.5,1.03770005702972,0,10,0
64,2.49047994613647,1,24,4,2016-04-12T12:33:00Z,68.125,1.14146995544434,0,11,0,60.8333333333333,1.03770005702972,0,10,0
